Date,Aceh,Bali,Banten,Bengkulu,DI Yogyakarta,DKI Jakarta,Gorontalo,Jambi,Jawa Barat,Jawa Tengah,Jawa Timur,Kalimantan Barat,Kalimantan Selatan,Kalimantan Tengah,Kalimantan Timur,Kalimantan Utara,Kepulauan Bangka Belitung,Kepulauan Riau,Lampung,Maluku Utara,Maluku,Nusa Tenggara Barat,Nusa Tenggara Timur,Papua Barat,Papua,Riau,Sulawesi Barat,Sulawesi Selatan,Sulawesi Tengah,Sulawesi Tenggara,Sulawesi Utara,Sumatera Barat,Sumatera Selatan,Sumatera Utara
2022-01-01,48990.0,76680.0,80020.0,43040.0,63490.0,98730.0,11.068371235050263,51740.0,91430.0,65209.99999999999,68440.0,103886.25,98187.5,107568.75,11.488130597151969,11.645189805222813,11.816467030329967,11.244274480424577,10.898238201670146,11.62035284319528,110890.0,70020.0,59480.0,100000.0,105460.0,60000.0,11.193835281358767,11.097425172408931,11.347472824583113,11.331895074262475,11.498633824253364,48200.0,68790.0,55000.0
2022-01-02,48990.0,74370.0,81700.0,45830.0,64110.0,98730.0,11.057865619110094,59810.0,93530.0,64400.00000000001,68950.0,103886.25,90180.0,107568.75,11.409795792463761,11.637008613175091,11.773603693492984,11.394378387508226,10.985479146187918,11.582833917185196,108780.0,69280.0,60490.0,97430.0,100990.0,60000.0,11.124037198666844,11.07055256683868,11.324195417595107,11.26345077190963,11.412010608265987,48200.0,68220.0,68410.0
2022-01-03,48990.0,72660.0,84630.0,53330.0,70680.0,97420.0,11.117524542619655,66470.0,86060.0,66410.0,65790.0,103886.25,90090.0,92260.0,11.416315440734046,11.649909639875576,11.7084182326172,11.311922492087826,10.983613347424248,11.51662859989461,106850.0,68360.0,44570.0,101638.75,96970.0,65000.0,11.134457628756993,11.044696260501281,11.021101494211369,11.19176933566073,11.397525836740476,48200.0,71500.0,74700.0
2022-01-04,48990.0,75000.0,88680.0,53840.0,69670.0,95730.0,11.066497727453186,65410.0,88960.0,64760.00000000001,62990.0,103886.25,93510.0,107568.75,11.502683191505962,11.565052911356245,11.688734192593126,11.313266479778829,10.90744111582406,11.487412766201091,117430.0,65680.0,44750.0,97190.0,93580.0,58010.0,11.069929814564968,11.012396646681605,11.270866642542865,11.190941760821426,11.284656300113475,48200.0,66170.0,70360.0
2022-01-05,48990.0,70020.0,79400.0,53840.0,63250.0,88960.0,11.045654099689468,64750.0,87970.0,58780.0,57070.0,103886.25,98030.0,105880.0,11.495178922482257,11.507822466794325,11.722545990951964,11.401110832905937,10.896757843893464,11.387146799287635,115410.0,54790.0,50570.0,100650.0,98180.0,65000.0,11.086915754370356,11.009422961584018,11.235470912673883,11.210887504768335,11.246104283185776,48200.0,66420.0,70360.0
2022-01-06,48990.0,54710.0,73770.0,52350.0,46670.0,80320.0,10.861515060390364,63750.0,83590.0,53600.0,49780.0,103886.25,94600.0,89840.0,11.452761362098665,11.436487087221792,11.69650456405965,11.404460134358922,10.94183661241081,11.357569058546712,114540.0,48930.0,49900.0,89860.0,90110.0,65000.0,11.016347854469439,10.960426790193678,11.129187601481807,11.188869822404088,11.123446888589342,48200.0,60400.0,69710.0
2022-01-07,48990.0,53740.0,67710.0,53500.0,45860.0,73340.0,10.818397331333351,64780.0,80480.0,50230.0,47460.0,103886.25,92710.0,104200.0,11.407687164066097,11.415433907691098,11.642558016983761,11.297266335365645,10.949770923024142,11.285535410008587,79300.0,44610.0,48300.0,101638.75,90510.0,62500.0,11.10932361990884,10.927573832967658,11.152973729638365,11.172981207855637,11.093934290680341,48200.0,62910.0,66410.0
2022-01-08,48990.0,53730.0,68450.0,58550.0,45860.0,76210.0,10.910733540740393,57110.0,77700.0,45770.0,47220.0,103886.25,91910.0,99260.0,11.319716858739206,11.42835837101271,11.67002322645458,11.353824217948372,10.934730650833384,11.30652840513463,107080.0,41620.0,47190.0,101638.75,88060.0,62500.0,11.072107752919068,10.853038964104712,11.041336579870135,11.117078949527887,11.018317619227071,48200.0,63270.0,68410.0
2022-01-09,48990.0,53540.0,64940.0,53780.0,41160.0,76210.0,10.885397471418095,63340.0,73870.0,45480.0,46130.0,103886.25,89140.0,99940.0,11.355581358245379,11.36048498857772,11.644488671987546,11.385103457032141,10.972001393380204,11.289794413577894,98980.0,42580.0,54030.0,72660.0,88680.0,65000.0,11.072107752919068,10.837637848711049,11.043417712757153,11.15540730848484,10.910368250604645,48200.0,61970.0,72590.0
2022-01-10,48990.0,49030.0,64989.99999999999,54870.0,37380.0,71140.0,10.728780791588225,60990.0,66350.0,42600.0,43900.0,101790.0,88260.0,94120.0,11.279744203985432,11.283524879179666,11.567138991326866,11.308370569092329,10.946957041707028,11.261395299133934,105490.0,39590.0,46880.0,59470.0,89280.0,47500.0,11.077995500207495,10.85013288642403,11.040534989471949,11.070085538995333,10.892117550468008,48200.0,60700.0,64540.00000000001
2022-01-11,48990.0,47180.0,64040.00000000001,54130.0,39510.0,67490.0,10.646400611577631,60270.0,64330.0,41670.0,40950.0,98300.0,80130.0,91470.0,11.280627640864537,11.22205163761701,11.535283647580895,11.095453562937447,10.998108553267764,11.233621531028957,94580.0,38020.0,45150.0,90260.0,95630.0,47500.0,10.955898822303523,10.736418414365374,10.854778565594904,11.08154236880574,10.812169410206765,48200.0,58420.0,65840.0
2022-01-12,48990.0,43180.0,54830.0,52350.0,39700.0,71660.0,10.68283536485392,57090.0,59820.0,40250.0,39370.0,97870.0,86800.0,92460.0,11.19850234999397,11.206006205330874,11.370797225120187,11.394378387508226,10.934908916663861,11.332374340036496,104170.0,39840.0,49780.0,93610.0,93430.0,45000.0,10.922352923113982,10.68053920531829,10.778560378194001,10.998944869510936,10.801430997592224,48200.0,59280.0,60000.0
2022-01-13,48990.0,42230.0,53180.0,52350.0,39110.0,63490.0,10.814986823674152,53340.0,56420.0,40400.0,38560.0,94520.0,71600.0,88570.0,11.126983533350797,11.184851860891301,11.322140191764078,11.387713654165294,10.898607948952096,11.363856849549764,97370.0,38670.0,48630.0,86760.0,92340.0,45000.0,10.915470209522413,10.723289410218579,10.77438334991989,11.0406953589636,10.798370769971397,48200.0,58170.0,52850.0
2022-01-14,48990.0,43260.0,53620.0,48990.0,41120.0,62650.0,10.763440710059992,51300.0,53930.0,38400.0,37980.0,97320.0,66870.0,85540.0,11.077068157441543,11.170026621880517,11.361183548408668,11.366638782699756,10.869919915888612,11.371834139356602,96610.0,39420.0,48840.0,72070.0,90260.0,58010.0,10.798779341814225,10.642109884868972,10.779185430302025,11.02306192678775,10.803465958917977,48200.0,56800.0,52850.0
2022-01-15,48990.0,43260.0,50890.0,48190.0,40310.0,63200.0,10.732061203925051,51900.0,53040.0,37990.0,37680.0,96750.0,78100.0,84080.0,10.77228827467366,11.170167514576873,11.324799092787902,11.283650655850774,10.88708172961997,11.32973553124614,88050.0,39560.0,47890.0,81070.0,96780.0,45000.0,10.757711372994065,10.599156550639583,10.800208030113406,11.011241264121493,10.846439689363773,52000.0,55350.0,54430.0
2022-01-16,48990.0,41690.0,51380.0,52070.0,40720.0,56350.0,10.706631982470421,53690.0,52340.0,38360.0,37240.0,96310.0,78050.0,83950.0,11.064933785375604,11.102864813509706,11.333451848940403,11.238106967501327,10.91237569707775,11.343097536757666,89320.0,39370.0,44520.0,84850.0,100200.0,40000.0,10.709092503552526,10.57773220059301,10.754514166757886,10.985479146187918,10.83645839466148,52000.0,55170.0,44900.0
2022-01-17,48990.0,38440.0,51650.0,48890.0,40540.0,61280.0,10.709315887371531,47720.0,51620.0,38560.0,35710.0,94930.0,73530.0,81380.0,11.111118657114291,11.13358121731339,11.305421475643698,11.301475773184274,10.884835421043586,11.326848866824777,91820.0,35310.0,46720.0,83000.0,90110.0,45000.0,10.709092503552526,10.547995807489514,10.794686091998527,10.965971674529177,10.709539221301348,48200.0,52710.0,57690.0
2022-01-18,48990.0,40080.0,50380.0,46180.0,38130.0,61750.0,10.717103049046909,51200.0,52620.0,37580.0,36100.0,92990.0,65830.0,77290.0,11.065090289695444,11.096970530507365,11.305052226691862,11.231636247937386,10.9034022639752,11.308983870389673,85100.0,33720.0,46290.0,84830.0,89690.0,32400.0,10.741622129409992,10.473647554347222,10.73358838809481,10.87257944140141,10.800615852145526,48200.0,52490.0,56260.0
2022-01-19,48990.0,37930.0,48840.0,46720.0,38940.0,59470.0,10.680309299119006,46540.0,51350.0,36870.0,33630.0,93390.0,67570.0,79630.0,11.052808798233295,11.112910477933843,11.271376060416618,11.285409870187191,10.908905754228723,11.247670025080003,89050.0,33950.0,50210.0,84830.0,87490.0,35000.0,10.69378412959488,10.482933978579906,10.707751151716078,10.848968086540824,10.775429243836092,48200.0,50850.0,59230.0
2022-01-20,48990.0,38830.0,49080.0,47750.0,38780.0,59470.0,10.659398242331683,43380.0,49860.0,36050.0,33010.0,92410.0,74380.0,78460.0,11.000949179446842,11.164232862915847,11.277721984163577,11.279112699468133,10.898607948952096,11.277342362262427,84890.0,32050.0,49770.0,85960.0,87910.0,38000.0,10.566716616308788,10.45365888164355,10.717546203426988,10.860171386969528,10.71909569904425,48200.0,50600.0,53640.0
2022-01-21,48990.0,37020.0,48800.0,47070.0,37920.0,57370.0,10.650909827496074,43720.0,48070.0,34350.0,32430.0,91680.0,77390.0,76660.0,11.057392626952947,11.164232862915847,11.268315653289422,11.2506641951986,10.915288444217273,11.172840711058733,87150.0,34420.0,48110.0,82100.0,87960.0,35000.0,10.586104484122892,10.450481157684562,10.635398611146856,10.849356503939038,10.685812511742123,48200.0,47600.0,54050.0
2022-01-22,48990.0,36830.0,46510.0,48190.0,37520.0,59080.0,10.62427421889949,47550.0,48220.0,33370.0,29360.0,90990.0,74480.0,76750.0,11.04117631318603,11.131972465357673,11.346410325958852,11.226589153242802,10.851877546270282,11.23097361008447,88160.0,31300.0,48730.0,83850.0,69280.0,30000.0,10.566716616308788,10.451059677269122,10.694464463438248,10.838423379279122,10.606362266854584,48200.0,48770.0,56750.0
2022-01-23,48990.0,34360.0,47500.0,51120.0,36990.0,56460.0,10.569802959130605,44590.0,48250.0,30590.0,29500.0,95760.0,74270.0,75910.0,11.025832643730766,11.131972465357673,11.31020934572104,11.103617984394585,10.785414556982323,11.164657936601685,80110.0,27290.0,52170.0,79960.0,86670.0,35000.0,10.557659989689753,10.439425213116973,10.592400782564011,10.847801928316501,10.602641655359474,48200.0,48070.0,56750.0
2022-01-24,48990.0,28500.0,42760.0,47180.0,30760.0,55480.0,10.545893917642873,46640.0,43720.0,28320.0,26980.0,89110.0,65700.0,75690.0,11.004613346368536,11.116038459511904,11.26473330020486,11.221382615969278,10.77228827467366,11.148232750152198,93590.0,25420.0,45580.0,78950.0,78400.0,58010.0,10.49684202174171,10.420523850078832,10.57082962691412,10.816994413033667,10.580022511040418,48200.0,47740.0,55500.0
